Iteration: 0 	 Loss: 2.29956 	 Accuracy: 10.17766
Iteration: 2900 	 Loss: 2.30188 	 Accuracy: 9.34010
Iteration: 3000 	 Loss: 2.29953 	 Accuracy: 9.34010
Iteration: 3100 	 Loss: 2.29910 	 Accuracy: 11.44670
Iteration: 3200 	 Loss: 2.29782 	 Accuracy: 16.67513
Iteration: 3300 	 Loss: 2.29896 	 Accuracy: 9.34010
Iteration: 3400 	 Loss: 2.29792 	 Accuracy: 10.43147
Iteration: 3500 	 Loss: 2.29747 	 Accuracy: 13.04569
Iteration: 3600 	 Loss: 2.29691 	 Accuracy: 9.49239
Iteration: 3700 	 Loss: 2.29775 	 Accuracy: 13.50254
Iteration: 3800 	 Loss: 2.29463 	 Accuracy: 15.43147
Iteration: 3900 	 Loss: 2.29416 	 Accuracy: 10.93909
Iteration: 4000 	 Loss: 2.29539 	 Accuracy: 11.39594
Iteration: 4100 	 Loss: 2.29306 	 Accuracy: 15.63452
Iteration: 4200 	 Loss: 2.29390 	 Accuracy: 10.43147
Iteration: 4300 	 Loss: 2.29242 	 Accuracy: 13.35025
Iteration: 4400 	 Loss: 2.28853 	 Accuracy: 11.09137
Iteration: 4500 	 Loss: 2.28623 	 Accuracy: 11.14213
Iteration: 4600 	 Loss: 2.28232 	 Accuracy: 10.83756
Iteration: 4700 	 Loss: 2.28107 	 Accuracy: 21.57360
Iteration: 4800 	 Loss: 2.28004 	 Accuracy: 18.95939
Iteration: 4900 	 Loss: 2.28103 	 Accuracy: 22.94416
Iteration: 5000 	 Loss: 2.26786 	 Accuracy: 19.72081
Iteration: 5100 	 Loss: 2.25397 	 Accuracy: 19.69543
Iteration: 5200 	 Loss: 2.25842 	 Accuracy: 14.92386
Iteration: 5300 	 Loss: 2.21499 	 Accuracy: 19.34010
Iteration: 5400 	 Loss: 2.24618 	 Accuracy: 18.55330
Iteration: 5500 	 Loss: 2.25560 	 Accuracy: 13.62944
Iteration: 5600 	 Loss: 2.18849 	 Accuracy: 17.25888
Iteration: 5700 	 Loss: 2.24342 	 Accuracy: 13.02030
Iteration: 5800 	 Loss: 2.13296 	 Accuracy: 24.92386
Iteration: 5900 	 Loss: 2.30815 	 Accuracy: 13.27411
Iteration: 6000 	 Loss: 2.14430 	 Accuracy: 23.14721
Iteration: 6100 	 Loss: 2.32130 	 Accuracy: 11.24365
Iteration: 6200 	 Loss: 2.36438 	 Accuracy: 11.11675
Iteration: 6300 	 Loss: 2.19564 	 Accuracy: 12.84264
Iteration: 6400 	 Loss: 2.20625 	 Accuracy: 16.16751
Iteration: 6500 	 Loss: 2.11413 	 Accuracy: 16.52284
Iteration: 6600 	 Loss: 2.13245 	 Accuracy: 13.52792
Iteration: 6700 	 Loss: 2.07536 	 Accuracy: 24.34010
Iteration: 6800 	 Loss: 2.21463 	 Accuracy: 12.20812
Iteration: 6900 	 Loss: 2.17612 	 Accuracy: 10.88832
Iteration: 7000 	 Loss: 2.13198 	 Accuracy: 14.84772
Iteration: 7100 	 Loss: 2.05909 	 Accuracy: 23.73096
Iteration: 7200 	 Loss: 2.33267 	 Accuracy: 16.49746
Iteration: 7300 	 Loss: 2.06053 	 Accuracy: 21.21827
Iteration: 7400 	 Loss: 2.16233 	 Accuracy: 10.38071
Iteration: 7500 	 Loss: 2.25827 	 Accuracy: 10.27919
Iteration: 7600 	 Loss: 2.11258 	 Accuracy: 15.10152
Iteration: 7700 	 Loss: 2.14432 	 Accuracy: 20.93909
Iteration: 7800 	 Loss: 2.09151 	 Accuracy: 14.61929
Iteration: 7900 	 Loss: 2.04747 	 Accuracy: 18.88325
Iteration: 8000 	 Loss: 2.06006 	 Accuracy: 16.11675
Iteration: 8100 	 Loss: 2.07319 	 Accuracy: 22.56345
Iteration: 8200 	 Loss: 2.13922 	 Accuracy: 10.35533
Iteration: 8300 	 Loss: 2.30291 	 Accuracy: 19.92386
Iteration: 8400 	 Loss: 2.11805 	 Accuracy: 26.09137
Iteration: 8500 	 Loss: 2.05567 	 Accuracy: 14.03553
Iteration: 8600 	 Loss: 2.04793 	 Accuracy: 20.50761
Iteration: 8700 	 Loss: 2.24118 	 Accuracy: 19.67005
Iteration: 8800 	 Loss: 1.99887 	 Accuracy: 15.43147
Iteration: 8900 	 Loss: 2.04284 	 Accuracy: 15.65990
Iteration: 9000 	 Loss: 2.06606 	 Accuracy: 22.15736
Iteration: 9100 	 Loss: 2.04813 	 Accuracy: 12.61421
Iteration: 9200 	 Loss: 2.02440 	 Accuracy: 24.67005
Iteration: 9300 	 Loss: 2.16258 	 Accuracy: 15.02538
Iteration: 9400 	 Loss: 2.07033 	 Accuracy: 22.79188
Iteration: 9500 	 Loss: 2.07814 	 Accuracy: 21.37056
Iteration: 9600 	 Loss: 2.28849 	 Accuracy: 23.78173
Iteration: 9700 	 Loss: 2.00648 	 Accuracy: 17.56345
Iteration: 9800 	 Loss: 2.05576 	 Accuracy: 23.75635
Iteration: 9900 	 Loss: 1.97726 	 Accuracy: 24.11168
Iteration: 10000 	 Loss: 1.92072 	 Accuracy: 18.04569
Iteration: 10100 	 Loss: 2.09153 	 Accuracy: 25.53299
Iteration: 10200 	 Loss: 2.05481 	 Accuracy: 20.91371
Iteration: 10300 	 Loss: 2.05340 	 Accuracy: 21.92893
Iteration: 10400 	 Loss: 1.97936 	 Accuracy: 17.38579
Iteration: 10500 	 Loss: 2.10061 	 Accuracy: 26.31980
Iteration: 10600 	 Loss: 2.03611 	 Accuracy: 20.45685
Iteration: 10700 	 Loss: 2.29324 	 Accuracy: 26.70051
Iteration: 10800 	 Loss: 2.04435 	 Accuracy: 23.32487
Iteration: 10900 	 Loss: 2.35208 	 Accuracy: 18.70558
Iteration: 11000 	 Loss: 2.25880 	 Accuracy: 24.79695
Iteration: 11100 	 Loss: 2.30673 	 Accuracy: 25.38071
Iteration: 11200 	 Loss: 2.09263 	 Accuracy: 11.75127
Iteration: 11300 	 Loss: 2.09922 	 Accuracy: 21.62437
Iteration: 11400 	 Loss: 2.00200 	 Accuracy: 20.27919
Iteration: 11500 	 Loss: 2.01840 	 Accuracy: 22.81726
Iteration: 11600 	 Loss: 2.09764 	 Accuracy: 23.27411
Iteration: 11700 	 Loss: 2.03139 	 Accuracy: 22.38579
Iteration: 11800 	 Loss: 1.92479 	 Accuracy: 19.03553
Iteration: 11900 	 Loss: 1.99329 	 Accuracy: 23.73096
Iteration: 12000 	 Loss: 2.11396 	 Accuracy: 23.90863
Iteration: 12100 	 Loss: 2.02878 	 Accuracy: 19.69543
Iteration: 12200 	 Loss: 1.96131 	 Accuracy: 24.59391
Iteration: 12300 	 Loss: 2.11107 	 Accuracy: 25.22843
Iteration: 12400 	 Loss: 2.21544 	 Accuracy: 20.50761
Iteration: 12500 	 Loss: 2.03574 	 Accuracy: 15.30457
Iteration: 12600 	 Loss: 1.99640 	 Accuracy: 25.00000
Iteration: 12700 	 Loss: 2.31173 	 Accuracy: 25.12690
Iteration: 12800 	 Loss: 2.27624 	 Accuracy: 17.10660
Iteration: 12900 	 Loss: 2.02223 	 Accuracy: 18.37563
Iteration: 13000 	 Loss: 1.96877 	 Accuracy: 28.52792
Iteration: 13100 	 Loss: 1.87884 	 Accuracy: 31.19289
Iteration: 13200 	 Loss: 2.09689 	 Accuracy: 23.65482
Iteration: 13300 	 Loss: 2.67174 	 Accuracy: 10.86294
Iteration: 13400 	 Loss: 2.11760 	 Accuracy: 22.00508
Iteration: 13500 	 Loss: 2.00572 	 Accuracy: 33.17259
Iteration: 13600 	 Loss: 1.86938 	 Accuracy: 23.55330
Iteration: 13700 	 Loss: 2.09515 	 Accuracy: 18.85787
Iteration: 13800 	 Loss: 2.01416 	 Accuracy: 13.75635
Iteration: 13900 	 Loss: 2.10607 	 Accuracy: 24.51777
Iteration: 14000 	 Loss: 1.99020 	 Accuracy: 21.72589
Iteration: 14100 	 Loss: 1.91722 	 Accuracy: 29.89848
Iteration: 14200 	 Loss: 1.92146 	 Accuracy: 25.65990
Iteration: 14300 	 Loss: 2.06320 	 Accuracy: 22.08122
Iteration: 14400 	 Loss: 1.98108 	 Accuracy: 21.21827
Iteration: 14500 	 Loss: 2.03372 	 Accuracy: 32.15736
Iteration: 14600 	 Loss: 2.28801 	 Accuracy: 16.90355
Iteration: 14700 	 Loss: 1.91808 	 Accuracy: 25.86294
Iteration: 14800 	 Loss: 2.06480 	 Accuracy: 22.61421
Iteration: 14900 	 Loss: 2.05786 	 Accuracy: 35.00000
Iteration: 15000 	 Loss: 2.02582 	 Accuracy: 12.20812
Iteration: 15100 	 Loss: 1.97292 	 Accuracy: 24.46701
Iteration: 15200 	 Loss: 1.85534 	 Accuracy: 37.94416
Iteration: 15300 	 Loss: 1.96350 	 Accuracy: 30.32995
Iteration: 15400 	 Loss: 1.85633 	 Accuracy: 17.36041
Iteration: 15500 	 Loss: 2.04075 	 Accuracy: 19.26396
Iteration: 15600 	 Loss: 1.85160 	 Accuracy: 31.85279
Iteration: 15700 	 Loss: 1.96454 	 Accuracy: 34.94924
Iteration: 15800 	 Loss: 1.98175 	 Accuracy: 35.91371
Iteration: 15900 	 Loss: 1.85556 	 Accuracy: 21.67513
Iteration: 16000 	 Loss: 1.96698 	 Accuracy: 35.02538
Iteration: 16100 	 Loss: 1.83163 	 Accuracy: 25.50761
Iteration: 16200 	 Loss: 1.68445 	 Accuracy: 31.64975
Iteration: 16300 	 Loss: 1.86965 	 Accuracy: 39.44162
Iteration: 16400 	 Loss: 2.61491 	 Accuracy: 32.30964
Iteration: 16500 	 Loss: 1.96080 	 Accuracy: 19.01015
Iteration: 16600 	 Loss: 1.83525 	 Accuracy: 27.66497
Iteration: 16700 	 Loss: 1.91313 	 Accuracy: 13.65482
Iteration: 16800 	 Loss: 1.82146 	 Accuracy: 37.79188
Iteration: 16900 	 Loss: 1.63608 	 Accuracy: 36.57360
Iteration: 17000 	 Loss: 1.82904 	 Accuracy: 34.74619
Iteration: 17100 	 Loss: 1.70888 	 Accuracy: 43.07107
Iteration: 17200 	 Loss: 1.78710 	 Accuracy: 20.91371
Iteration: 17300 	 Loss: 1.54897 	 Accuracy: 47.89340
Iteration: 17400 	 Loss: 1.62080 	 Accuracy: 33.04569
Iteration: 17500 	 Loss: 1.76357 	 Accuracy: 42.84264
Iteration: 17600 	 Loss: 1.60152 	 Accuracy: 40.25381
Iteration: 17700 	 Loss: 2.07682 	 Accuracy: 27.76650
Iteration: 17800 	 Loss: 1.67538 	 Accuracy: 30.35533
Iteration: 17900 	 Loss: 1.55378 	 Accuracy: 49.87310
Iteration: 18000 	 Loss: 2.04079 	 Accuracy: 26.24365
Iteration: 18100 	 Loss: 1.83952 	 Accuracy: 45.45685
Iteration: 18200 	 Loss: 1.81225 	 Accuracy: 28.73096
Iteration: 18300 	 Loss: 2.26366 	 Accuracy: 25.65990
Iteration: 18400 	 Loss: 1.74520 	 Accuracy: 44.44162
Iteration: 18500 	 Loss: 1.53353 	 Accuracy: 50.20305
Iteration: 18600 	 Loss: 2.11164 	 Accuracy: 20.48223
Iteration: 18700 	 Loss: 1.93741 	 Accuracy: 25.83756
Iteration: 18800 	 Loss: 1.66193 	 Accuracy: 29.56853
Iteration: 18900 	 Loss: 1.65770 	 Accuracy: 50.40609
Iteration: 19000 	 Loss: 1.54451 	 Accuracy: 50.22843
Iteration: 19100 	 Loss: 1.40771 	 Accuracy: 50.05076
Iteration: 19200 	 Loss: 1.73728 	 Accuracy: 24.61929
Iteration: 19300 	 Loss: 1.79232 	 Accuracy: 30.55838
Iteration: 19400 	 Loss: 1.41638 	 Accuracy: 47.48731
Iteration: 19500 	 Loss: 1.39804 	 Accuracy: 51.47208
Iteration: 19600 	 Loss: 1.41408 	 Accuracy: 44.87310
Iteration: 19700 	 Loss: 1.62265 	 Accuracy: 31.16751
Iteration: 19800 	 Loss: 1.30958 	 Accuracy: 47.74112
Iteration: 19900 	 Loss: 1.34811 	 Accuracy: 46.26904
Iteration: 20000 	 Loss: 1.81309 	 Accuracy: 44.44162
